,CATEGORY,TIME,MODALITY,SECTOR,SUBSECTOR
174,Car Crash,08:02,Speeding,4,2
175,Car Crash,08:29,Speeding,4,2
176,People Falls,08:38,,3,1
177,Car Crash,11:01,Speeding,4,4
178,"Fires",20:55,,4,4
179,Car Cluelessness,11:16,Speeding,5,3
188,Car Cluelessness,13:20,Driver Recklessness,5,2
189,Car Crash,13:21,Driver Recklessness,4,2
190,Car Run Over People,08:16,Speeding,2,1
191,Car Crash,14:10,Driver Recklessness,4,3
192,People Falls,07:32,,4,3
193,Car Crash,08:02,Speeding,5,4
194,People Falls,12:10,,4,3
195,Car Crash,21:42,Driver Recklessness,5,4
196,Car Crash,16:38,Speeding,1,6
197,Car Crash,19:23,Speeding,1,5
198,Car Cluelessness,05:03,Speeding,5,3
199,Car Crash,20:57,Speeding,1,2
200,Car Crash,14:12,Speeding,3,1
201,Car Run Over People,15:54,Driver Recklessness,4,3
202,Car Crash,16:51,Driver Recklessness,5,4
203,Car Crash,16:35,Driver Recklessness,2,2
204,Car Crash,17:12,Driver Recklessness,3,3
205,Car Crash,19:47,Driver Recklessness,1,2
206,Car Crash,22:54,Speeding,1,5
207,People Falls,05:28,,2,7
208,Car Crash,16:10,Driver Recklessness,4,3
209,Car Crash,21:59,Driver Recklessness,5,4
210,Car Cluelessness,05:22,Speeding,5,2
211,Car Cluelessness,00:37,Speeding,5,1
212,Car Crash,01:52,Driver Recklessness,3,3
213,Car Crash,14:40,Driver Recklessness,2,1
214,Car Crash,17:02,Speeding,2,1
215,Car Cluelessness,17:15,Driver Recklessness,5,3
216,Car Crash,16:24,Driver Recklessness,4,1
217,People Falls,18:40,,3,3
218,Car Crash,16:40,Speeding,2,3
219,Car Cluelessness,21:26,Driver Recklessness,4,4
220,Car Crash,15:35,Driver Recklessness,1,2
221,Car Crash,18:57,Speeding,5,3
222,People Falls,19:12,,4,1
223,Car Crash,17:06,Speeding,4,4
224,Car Crash,20:07,Speeding,5,2
225,Car Crash,08:23,Driver Recklessness,5,4
226,Car Crash,09:33,Driver Recklessness,3,3
227,Car Crash,12:54,Driver Recklessness,4,2
228,Gas leak,16:32,,4,4
229,Car Crash,18:46,Driver Recklessness,2,2
230,Car Crash,20:01,Driver Recklessness,2,6
231,Car Run Over People,20:13,Driver Recklessness,3,2
237,Car Crash,16:49,Speeding,4,2
238,People Falls,17:34,,2,7
239,Car Crash,17:29,Speeding,4,1
240,Car Crash,15:38,Driver Recklessness,1,1
241,Car Crash,17:04,Driver Recklessness,3,2
242,Car Crash,19:46,Driver Recklessness,3,1
243,Car Crash,20:59,Speeding,4,3
244,Car Crash,08:07,Driver Recklessness,1,6
245,Car Crash,09:50,Speeding,4,1
246,Car Crash,08:44,Driver Recklessness,3,1
247,Car Crash,07:00,Speeding,1,5
248,Car Crash,07:46,Driver Recklessness,3,1
249,People Falls,08:02,,2,2
250,Car Crash,09:22,Driver Recklessness,1,2
251,Car Crash,11:41,Speeding,3,3
252,Car Crash,09:54,Speeding,1,3
253,People Falls,12:12,,1,2
254,Car Crash,12:51,Speeding,2,6
255,Car Crash,08:41,Speeding,5,1
265,Car Run Over People,07:36,Imprudencia del peatón,5,2
266,Car Cluelessness,09:46,Speeding,1,6
267,Car Crash,11:06,Speeding,1,1
268,Car Crash,09:48,Speeding,2,2
269,Car Crash,13:01,Driver Recklessness,5,2
270,Car Crash,13:15,Driver Recklessness,4,2
271,Car Crash,14:15,Speeding,1,1
272,Car Crash,14:15,Speeding,2,6
273,Car Cluelessness,06:38,Speeding,5,3
282,Car Crash,12:23,Speeding,1,5
283,Car Cluelessness,03:51,Speeding,5,1
284,Car Crash,19:08,Speeding,1,1
285,Car Crash,00:08,Speeding,4,1
286,Car Cluelessness,00:11,Speeding,5,2
287,Car Crash,19:05,Speeding,1,5
288,Car Crash,16:47,Driver Recklessness,5,1
289,Car Crash,11:43,Driver Recklessness,1,1
290,Car Crash,14:15,Driver Recklessness,1,5
291,Car Crash,16:42,Driver Recklessness,1,1
292,Car Crash,17:04,Driver Recklessness,3,2
293,Car Run Over People,19:05,Driver Recklessness,3,1
294,People Falls,17:43,,4,2
295,Car Crash,20:37,Speeding,5,1
296,Car Cluelessness,01:07,Speeding,1,3
297,Car Cluelessness,01:07,Speeding,1,3
298,Car Crash,17:11,Speeding,3,3
299,Car Crash,08:23,Speeding,2,2
300,People Falls,16:15,,4,3
301,Car Crash,16:55,Speeding,5,1
302,Car Crash,15:34,Driver Recklessness,2,2
303,Car Crash,16:10,Driver Recklessness,3,2
304,Car Crash,18:00,Speeding,5,3
305,Car Crash,18:27,Speeding,5,1
306,Car Cluelessness,18:59,Speeding,5,1
307,Car Crash,19:19,Speeding,2,7
308,Car Crash,19:46,Driver Recklessness,3,3
309,Car Crash,10:43,Speeding,1,2
310,Car Crash,16:56,Speeding,5,4
311,Car Crash,18:24,Speeding,5,2
312,People Falls,17:26,,3,3
313,Car Run Over People,18:28,Speeding,4,3
314,Car Crash,19:03,Speeding,4,3
315,Car Crash,18:54,Speeding,5,1
316,Car Cluelessness,08:05,Driver Recklessness,3,2
317,Car Crash,08:32,Driver Recklessness,1,5
318,Car Crash,08:57,Driver Recklessness,1,5
319,Car Crash,09:15,Driver Recklessness,2,5
320,Car Crash,10:24,Driver Recklessness,3,2
321,"Flood",12:02,,4,2
322,Car Crash,10:50,Speeding,1,1
323,Car Crash,11:01,Speeding,1,2
324,Car Crash,12:08,Driver Recklessness,4,2
325,Car Crash,12:34,Speeding,1,2
326,Car Crash,09:31,Speeding,5,1
327,Car Cluelessness,20:32,Speeding,1,4
328,Car Crash,08:09,Speeding,1,4
329,Car Crash,08:22,Speeding,1,5
330,Car Crash,08:48,Driver Recklessness,5,2
331,Car Crash,14:43,Speeding,3,1
332,Car Crash,14:00,Speeding,1,5
333,People Falls,13:40,,3,2
334,"Flood",07:19,,5,1
335,Car Crash,08:54,Speeding,4,3
336,Car Cluelessness,09:53,Driver Recklessness,1,4
337,"Flood",10:06,,5,2
338,Car Crash,11:28,Speeding,4,3
339,Gas leak,17:41,,1,5
340,Car Crash,09:59,Speeding,3,3
341,Car Crash,08:13,Speeding,1,2
342,Car Crash,13:24,Speeding,2,1
343,Car Crash,13:53,Driver Recklessness,4,1
344,Car Crash,13:29,Speeding,3,3
345,Car Crash,14:03,Driver Recklessness,4,1
346,Car Run Over People,14:06,Driver Recklessness,4,1
347,Car Crash,14:50,Speeding,1,6
348,Car Crash,16:05,Driver Recklessness,3,1
349,Car Run Over People,09:36,Driver Recklessness,1,6
